"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_run","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","groundballs_percent","flyballs_percent","linedrives_percent"
"Peralta, David","444482","2023","35","394","422","102","69","25","1","7","72","20",17.1,4.7,".259",".381",".294","0.675","0.122",".296","55","47",".274",".400",".290",".309",".312",".126",".328",".352","89.3","8.2",31.1,4.9,44.2,"100.838135399","94.678134417",22.5,54.5,38.4,35.7,25.9,49.1,21.6,25.3
"Blackmon, Charlie","453568","2023","36","359","413","100","63","24","5","8","55","39",13.3,9.4,".279",".440",".363","0.803","0.161",".307","40","57",".269",".406",".350",".339",".357",".137",".355",".340","86.4","18.1",39,4.9,31.5,"97.605451688","92.81067263",19.6,47.3,45.5,32.8,21.8,36.4,25.6,27.9
"Maldonado, Martín","455117","2023","36","362","407","69","42","12","0","15","139","30",34.2,7.4,".191",".348",".258","0.606","0.157",".260","36","33",".187",".357",".266",".267",".255",".169",".368",".370","88.4","18.1",32.8,8.5,40,"99.511383636","93.988423653",34.1,49.6,46,30.6,23.4,38.7,31.5,20.9
"Solano, Donovan","456781","2023","35","394","450","111","79","26","1","5","100","40",22.2,8.9,".282",".391",".369","0.760","0.109",".366","38","43",".284",".429",".338",".351",".371",".145",".385",".406","90.2","13.1",43.1,6.1,43.7,"100.102935676","94.475306983",25.4,47.4,34.2,43.4,22.4,41,23.1,31.9
"McCutchen, Andrew","457705","2023","36","390","473","100","69","19","0","12","100","75",21.1,15.9,".256",".397",".378","0.775","0.141",".312","43","55",".257",".409",".345",".353",".382",".152",".369",".382","89.6","12.3",33.7,6.8,44.6,"100.329192449","94.60717314",27.4,41.6,48.3,30.6,21.1,42.9,27.2,25.2
"Turner, Justin","457759","2023","38","558","626","154","100","31","0","23","110","51",17.6,8.1,".276",".455",".345","0.800","0.179",".304","96","86",".260",".444",".346",".336",".331",".184",".381",".367","89.5","16.5",36.8,5.7,39,"98.567368238","93.587032225",17.5,45,37.9,34.8,27.3,35.7,33,25.1
"Andrus, Elvis","462101","2023","34","374","406","94","67","20","1","6","71","25",17.5,6.2,".251",".358",".304","0.662","0.107",".294","44","39",".231",".313",".290",".267",".286",".082",".320",".290","87.5","5.5",28.1,2.6,31,"97.859729735","92.978938439",20,45,38.9,37.6,23.5,55.9,19.9,19.9
"Santana, Carlos","467793","2023","37","550","619","132","75","33","1","23","104","65",16.8,10.5,".240",".429",".318","0.747","0.189",".255","86","78",".240",".378",".323",".308",".319",".138",".344",".323","88.8","12.8",31.3,6.7,36.4,"99.367236","93.791213073",22.1,45.3,47.1,32.2,20.7,43.3,24.2,22.2
"Belt, Brandon","474832","2023","35","339","404","86","44","23","0","19","141","61",34.9,15.1,".254",".490",".369","0.859","0.236",".370","43","53",".212",".437",".369",".336",".335",".225",".528",".462","88.7","19.8",44.5,15,40,"100.691962551","94.453475333",32.3,41,41,32,27,31,39,24
"Rojas, Miguel","500743","2023","34","385","423","91","69","16","1","5","48","26",11.3,6.1,".236",".322",".290","0.612","0.086",".255","31","49",".252",".338",".271",".288",".307",".086",".270",".291","87.3","11",33.4,2.9,32,"97.505333176","92.848794735",16.5,49.6,33.4,36,30.5,46.2,20.9,26.2
"Pham, Tommy","502054","2023","35","426","481","109","63","27","3","16","106","47",22,9.8,".256",".446",".328","0.774","0.190",".300","68","55",".284",".475",".332",".361",".358",".191",".386",".429","92.3","5.7",34.4,10.7,49.1,"103.076305767","96.158685951",23.6,40.5,37.4,40.2,22.4,48.5,21.5,27.6
"Martinez, J.D.","502110","2023","35","432","479","117","55","27","2","33","149","34",31.1,7.1,".271",".572",".321","0.893","0.301",".324","103","61",".271",".553",".369",".369",".324",".283",".518",".518","93.4","16.9",41.1,17.1,55.1,"103.470071027","96.728137226",34.4,53,37.7,37.7,24.7,35.6,37,24.3
"Goldschmidt, Paul","502671","2023","35","593","687","159","103","31","0","25","161","87",23.4,12.7,".268",".447",".363","0.810","0.179",".327","80","89",".271",".491",".350",".367",".366",".220",".413",".440","91.3","12.8",35.6,12,50.8,"102.40959555","95.767792759",27.5,44,31.5,36.1,32.4,41.4,26.9,25.7
"Altuve, Jose","514888","2023","33","360","410","112","72","21","2","17","71","44",17.3,10.7,".311",".522",".393","0.915","0.211",".348","51","76",".245",".419",".393",".331",".335",".174",".437",".350","86","11.4",29.7,8.3,31.4,"97.888341268","92.956086549",18.7,45.1,45.2,38.3,16.6,49.3,21.7,20.3
"Freeman, Freddie","518692","2023","33","637","730","211","121","59","2","29","121","72",16.6,9.9,".331",".567",".410","0.977","0.236",".370","102","131",".323",".565",".411",".408",".403",".243",".463",".461","90","15.2",46.6,11.1,42.2,"100.590638269","94.617661541",20.4,51,35.3,36.5,28.2,35.9,29.6,30.9
"Grandal, Yasmani","518735","2023","34","363","405","85","63","14","0","8","86","36",21.2,8.9,".234",".339",".309","0.648","0.105",".284","33","33",".222",".332",".288",".282",".300",".110",".319",".311","87.9","10.8",32.3,4.7,34.4,"98.280329643","93.23662509",24.9,44.7,36.2,37.6,26.2,45.2,25.4,24.7
"LeMahieu, DJ","518934","2023","34","497","562","121","81","22","3","15","125","60",22.2,10.7,".243",".390",".327","0.717","0.147",".295","44","55",".255",".393",".315",".322",".339",".138",".357",".369","89.6","3.8",31.6,5.9,43,"100.265359786","94.32212244",19.7,39.2,31.8,40.6,27.5,55.6,17.4,22.5
"Rizzo, Anthony","519203","2023","33","373","421","91","65","14","0","12","97","35",23,8.3,".244",".378",".328","0.706","0.134",".298","41","45",".246",".393",".312",".319",".330",".148",".357",".367","90","17.8",41.2,6.9,37.5,"99.161259855","93.823202582",25,48.4,41.5,38.3,20.2,33.9,30.7,28.5
"Stanton, Giancarlo","519317","2023","33","371","415","71","34","13","0","24","124","41",29.9,9.9,".191",".420",".275","0.695","0.229",".210","60","43",".219",".462",".297",".325",".302",".242",".380",".429","93.3","12.5",27.4,15.7,48.4,"106.135021532","97.484200526",34.1,42.5,39.9,37.9,22.2,42.7,26.2,22.2
"Perez, Salvador","521692","2023","33","538","580","137","93","21","0","23","135","19",23.3,3.3,".255",".422",".292","0.714","0.167",".294","80","59",".268",".463",".302",".327",".309",".194",".375",".410","90.1","15.6",38,8.8,44,"101.357412537","94.955683293",30.2,60.2,39.7,36.3,24.1,36,30.2,26.3
"Flores, Wilmer","527038","2023","31","405","454","115","70","22","0","23","63","41",13.9,9,".284",".509",".355","0.864","0.225",".286","60","51",".256",".437",".368",".333",".332",".181",".392",".347","86.4","22",36.2,7.8,32.5,"97.399441744","92.72835564",15.8,44.9,44.9,29,26.1,31.9,29.9,23.5
"Ozuna, Marcell","542303","2023","32","530","592","145","75","29","1","40","134","57",22.6,9.6,".274",".558",".346","0.904","0.284",".293","100","84",".283",".581",".381",".396",".356",".298",".462",".485","91.8","15.6",34.9,16.6,49,"103.257673232","96.232240934",26.7,48.4,42.5,30.9,26.6,39.9,32.4,21.9
"Berti, Jon","542932","2023","33","388","424","114","88","16","3","7","77","29",18.2,6.8,".294",".405",".344","0.749","0.111",".349","33","53",".281",".411",".325",".324",".333",".130",".370",".370","85.4","2.4",29.7,4.7,31.3,"97.776931847","92.905131597",19.8,45.5,26.3,38.6,35.1,54.1,19.9,21.8
"Gomes, Yan","543228","2023","35","382","419","102","70","20","2","10","81","21",19.3,5,".267",".408",".315","0.723","0.141",".309","63","44",".262",".409",".312",".321",".317",".148",".357",".369","87.4","15.1",37,7.8,36.4,"98.498293636","93.349708864",24.2,52.5,30.5,38.3,31.2,37,28.9,25.6
"Grossman, Robbie","543257","2023","33","353","420","84","50","23","1","10","98","57",23.3,13.6,".238",".394",".340","0.734","0.156",".292","49","56",".224",".350",".323",".306",".331",".126",".359",".332","88.2","20.2",32.3,6.8,37.3,"98.380623258","93.356276654",20.1,38.1,39.5,37.6,22.8,32.3,35.4,24
"Semien, Marcus","543760","2023","32","670","753","185","112","40","4","29","110","72",14.6,9.6,".276",".478",".348","0.826","0.202",".291","100","122",".262",".427",".354",".333",".337",".165",".377",".349","88.4","19.1",37.5,6.5,37,"98.08417844","93.189258191",18,47.1,46.9,32.9,20.2,34,35.4,23.5
"Springer III, George","543807","2023","33","613","683","158","111","25","1","21","125","60",18.3,8.8,".258",".405",".327","0.732","0.147",".291","72","87",".264",".422",".320",".332",".335",".158",".352",".369","88.3","12",32.2,7.7,39.9,"100.34851102","94.297792755",22.3,49.3,37.5,38.1,24.4,44.8,25.9,22.4
"Grichuk, Randal","545341","2023","31","434","471","116","67","31","2","16","96","29",20.4,6.2,".267",".459",".321","0.780","0.192",".309","44","65",".263",".425",".333",".323",".319",".162",".391",".377","89.6","14",35,7.1,45.3,"101.490095235","95.074647765",26.7,50.1,44.7,31.5,23.8,40.9,24.4,26.8
"Harper, Bryce","547180","2023","30","457","546","134","83","29","1","21","119","80",21.8,14.7,".293",".499",".401","0.900","0.206",".352","72","84",".290",".530",".384",".399",".403",".240",".447",".470","91.8","9.1",36.8,15.2,46.8,"103.839812899","96.235486154",33.2,51.4,36.5,37.7,25.7,45.3,22.8,27.2
"Abreu, José","547989","2023","36","540","594","128","86","23","1","18","130","42",21.9,7.1,".237",".383",".296","0.679","0.146",".276","90","62",".248",".409",".295",".314",".311",".161",".342",".369","89","10.8",32.5,8.7,41.6,"100.821833606","94.59770588",26.4,50.1,32.7,39.4,27.9,45,21.9,26
"Díaz, Elias","553869","2023","32","486","526","130","90","25","1","14","118","34",22.4,6.5,".267",".409",".316","0.725","0.142",".324","72","48",".245",".376",".314",".296",".297",".131",".377",".351","88.1","12.7",31.2,6.2,38.4,"100.035107459","94.071648482",28.4,54.8,40.3,38.2,21.5,46.5,19.9,25.3
"Suárez, Eugenio","553993","2023","31","598","694","139","88","29","0","22","214","70",30.8,10.1,".232",".391",".323","0.714","0.159",".314","96","68",".223",".419",".313",".324",".318",".196",".400",".418","90.3","18.9",37.7,13.2,43,"100.661115455","94.726665316",32.8,44.5,46.3,32.7,21,34.2,34.4,25.1
"Arenado, Nolan","571448","2023","32","560","612","149","95","26","2","26","101","41",16.5,6.7,".266",".459",".315","0.774","0.193",".279","93","71",".266",".435",".327",".320",".316",".170",".367",".358","88.8","16.9",33,7.3,38.1,"99.311427863","93.760489679",20.2,48.5,46.9,32.1,21,38.8,25.7,24
